VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/20/2018 08:28:02 AM,09/20/2018 09:36:03 AM,1,19.44,2,N,249,132,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
2,09/20/2018 08:14:24 AM,09/20/2018 08:23:04 AM,1,1.3,1,N,249,107,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,09/20/2018 08:30:11 AM,09/20/2018 08:40:28 AM,1,1.16,1,N,107,170,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,09/20/2018 08:50:58 AM,09/20/2018 09:11:02 AM,1,2.26,1,N,233,237,1,13.5,0.0,0.5,1.5,0.0,0.3,15.8
1,09/20/2018 08:01:12 AM,09/20/2018 08:27:16 AM,1,5.3,1,N,209,161,1,21.5,0.0,0.5,4.0,0.0,0.3,26.3
1,09/20/2018 08:35:33 AM,09/20/2018 08:44:39 AM,1,1.2,1,N,230,142,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1,09/20/2018 08:45:42 AM,09/20/2018 08:56:31 AM,1,0.8,1,N,142,237,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55
1,09/20/2018 08:57:44 AM,09/20/2018 09:06:40 AM,1,0.8,1,N,237,141,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
2,09/20/2018 08:20:10 AM,09/20/2018 08:25:21 AM,1,0.46,1,N,233,161,1,5.0,0.0,0.5,1.74,0.0,0.3,7.54
2,09/20/2018 08:25:57 AM,09/20/2018 08:37:10 AM,1,1.6,1,N,161,50,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,09/20/2018 08:49:31 AM,09/20/2018 09:07:53 AM,1,1.36,1,N,143,163,1,12.0,0.0,0.5,2.56,0.0,0.3,17.31
2,09/20/2018 08:07:28 AM,09/20/2018 08:10:22 AM,1,0.37,1,N,161,161,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76
